id;no_mypoin;points
;102715117782;267
;102626766851;52
;100011224507;34
;100013778272;33
;100018083015;32
;100019613535;31
;100016532032;28
;100018255427;22
;100010868631;18
;100018089435;17
;100018680781;15
;100015779060;13
;100019165226;13
;100011151871;12
;100019603525;12
;101696671383;11
;102051166095;11
;100012668202;10
;100017019828;10
;101272611119;10
;100015866674;9
;100017477607;9
;102534838568;9
;100010026481;7
;100012398011;7
;100015321404;7
;100012430868;6
;100014981676;6
;100015471442;6
;100017340258;6
;100017505879;6
;100018103136;6
;101141445312;6
;101452422798;6
;101778957971;6
;102143833337;6
;102323831409;6
;100015136663;5
;100015901887;5
;100016590899;5
;100018440411;5
;100019964499;5
;101727943478;5
;101865676811;5
;101952454376;5
;102522481035;5
;100010584799;4
;100011040761;4
;100011041335;4
;100011366560;4
;100011979621;4
;100012151113;4
;100013006925;4
;100013017987;4
;100015644654;4
;100016548473;4
;100017194893;4
;100017350373;4
;100017502235;4
;100018564078;4
;100018873682;4
;100019965117;4
;101192449193;4
;101249524936;4
;102207982921;4
;102874355676;4
;100010038887;3
;100010251711;3
;100010260738;3
;100010653542;3
;100010888595;3
;100010896960;3
;100010946640;3
;100010983442;3
;100011109902;3
;100011411434;3
;100011428578;3
;100011493269;3
;100011537155;3
;100012076324;3
;100012101391;3
;100012146466;3
;100012169754;3
;100012259399;3
;100012536511;3
;100013007483;3
;100013018084;3
;100013938727;3
;100014059233;3
;100014212918;3
;100014505473;3
;100014633495;3
;100014725787;3
;100014914829;3
;100015108797;3
;100015355613;3
;100015363867;3
;100015748237;3
;100015764369;3
;100016351419;3
;100016749565;3
;100017288711;3
;100017410503;3
;100017485913;3
;100017971350;3
;100018065119;3
;100018210329;3
;100018492346;3
;100018676608;3
;100019187677;3
;100019486723;3
;100019618945;3
;100019647742;3
;100019727615;3
;100019862496;3
;100019923379;3
;101263472534;3
;101369394263;3
;101418612547;3
;101443237441;3
;101448762393;3
;101716877594;3
;101765757951;3
;101946419524;3
;102076503337;3
;102404407932;3
;102418045888;3
;102477564144;3
;102592313607;3
;102802060804;3
;102803615138;3
;102911306641;3
;100010046181;2
;100010132287;2
;100010221775;2
;100010223936;2
;100010273640;2
;100010438464;2
;100010481956;2
;100010761410;2
;100010764324;2
;100010830394;2
;100010848934;2
;100010935364;2
;100010981830;2
;100010991536;2
;100011209450;2
;100011218495;2
;100011227401;2
;100011329165;2
;100011347409;2
;100011353676;2
;100011377626;2
;100011508764;2
;100011659169;2
;100011831593;2
;100011914854;2
;100011923218;2
;100011936949;2
;100011940681;2
;100012324621;2
;100012358806;2
;100012476441;2
;100012578840;2
;100012923560;2
;100013091554;2
;100013352319;2
;100013359534;2
;100013373124;2
;100013390721;2
;100013400977;2
;100013506148;2
;100013572488;2
;100013591239;2
;100013605472;2
;100013750577;2
;100013969367;2
;100014000991;2
;100014287357;2
;100014420561;2
;100014451908;2
;100014480933;2
;100014754701;2
;100014907694;2
;100014957536;2
;100015130032;2
;100015307797;2
;100015478009;2
;100015780462;2
;100015949137;2
;100016013649;2
;100016092847;2
;100016289549;2
;100016302716;2
;100016388819;2
;100016478149;2
;100016568142;2
;100016676939;2
;100016873859;2
;100017144308;2
;100017229599;2
;100017509184;2
;100017755583;2
;100017893971;2
;100017948969;2
;100018105211;2
;100018205227;2
;100018393860;2
;100018419253;2
;100018447170;2
;100018485491;2
;100018564416;2
;100018657768;2
;100018826415;2
;100018913821;2
;100019045832;2
;100019251089;2
;100019523914;2
;100019550015;2
;100019613631;2
;100019761091;2
;100019825389;2
;101117471555;2
;101123162866;2
;101148655463;2
;101238854365;2
;101258913592;2
;101349569721;2
;101449116697;2
;101462199435;2
;101515774797;2
;101565324769;2
;101566576293;2
;101574711577;2
;101583516794;2
;101713435752;2
;101762697455;2
;101831915434;2
;101971359668;2
;102010206916;2
;102109992751;2
;102165874107;2
;102296164828;2
;102299039588;2
;102330936166;2
;102577180804;2
;102678650065;2
;102811888079;2
;102926599478;2
;102990452581;2
;100010015712;1
;100010016060;1
;100010029883;1
;100010052132;1
;100010057994;1
;100010077220;1
;100010102205;1
;100010141636;1
;100010166415;1
;100010170953;1
;100010185993;1
;100010193067;1
;100010236962;1
;100010271536;1
;100010302623;1
;100010337660;1
;100010344180;1
;100010346299;1
;100010359268;1
;100010361398;1
;100010368461;1
;100010390659;1
;100010441974;1
;100010462902;1
;100010477630;1
;100010503509;1
;100010511779;1
;100010518711;1
;100010540263;1
;100010552604;1
;100010561971;1
;100010602299;1
;100010603166;1
;100010627054;1
;100010675653;1
;100010684110;1
;100010705215;1
;100010718668;1
;100010729770;1
;100010729952;1
;100010741213;1
;100010752536;1
;100010761337;1
;100010762652;1
;100010782170;1
;100010828559;1
;100010846445;1
;100010858115;1
;100010870267;1
;100010879638;1
;100010895694;1
;100010908413;1
;100010908708;1
;100010925147;1
;100010964182;1
;100010991647;1
;100010995263;1
;100011002724;1
;100011018487;1
;100011024878;1
;100011046220;1
;100011065007;1
;100011073428;1
;100011097926;1
;100011117712;1
;100011125092;1
;100011180725;1
;100011188389;1
;100011194979;1
;100011226905;1
;100011227448;1
;100011230502;1
;100011231404;1
;100011276907;1
;100011285926;1
;100011318126;1
;100011318588;1
;100011382517;1
;100011384985;1
;100011390333;1
;100011390977;1
;100011406436;1
;100011436046;1
;100011467540;1
;100011482249;1
;100011489537;1
;100011492741;1
;100011528177;1
;100011533228;1
;100011534335;1
;100011537924;1
;100011549388;1
;100011566282;1
;100011566724;1
;100011567117;1
;100011582843;1
;100011634569;1
;100011639696;1
;100011654371;1
;100011675402;1
;100011680884;1
;100011682525;1
;100011697841;1
;100011705307;1
;100011767533;1
;100011767804;1
;100011782549;1
;100011784292;1
;100011799942;1
;100011823320;1
;100011834427;1
;100011839556;1
;100011884004;1
;100011894395;1
;100011903311;1
;100011932204;1
;100011942772;1
;100011942889;1
;100011945781;1
;100011974082;1
;100011975749;1
;100011976537;1
;100011993912;1
;100012000928;1
;100012017261;1
;100012026906;1
;100012048382;1
;100012099686;1
;100012116771;1
;100012143662;1
;100012183921;1
;100012195295;1
;100012246819;1
;100012257760;1
;100012280826;1
;100012306902;1
;100012340190;1
;100012380457;1
;100012412608;1
;100012414540;1
;100012431060;1
;100012459410;1
;100012463602;1
;100012478598;1
;100012532014;1
;100012546979;1
;100012553985;1
;100012564041;1
;100012571362;1
;100012572351;1
;100012580353;1
;100012581429;1
;100012613716;1
;100012668955;1
;100012680264;1
;100012694548;1
;100012735264;1
;100012740894;1
;100012821205;1
;100012826213;1
;100012904545;1
;100012937221;1
;100012938447;1
;100012960227;1
;100012992892;1
;100013043736;1
;100013044582;1
;100013052277;1
;100013054462;1
;100013059085;1
;100013068448;1
;100013085414;1
;100013090059;1
;100013093519;1
;100013093742;1
;100013123719;1
;100013216206;1
;100013227083;1
;100013239943;1
;100013261060;1
;100013265046;1
;100013311574;1
;100013326032;1
;100013341209;1
;100013342939;1
;100013355120;1
;100013358147;1
;100013375754;1
;100013404384;1
;100013410389;1
;100013416594;1
;100013432965;1
;100013433774;1
;100013434377;1
;100013444133;1
;100013446773;1
;100013450688;1
;100013462150;1
;100013481750;1
;100013535935;1
;100013549074;1
;100013553573;1
;100013592581;1
;100013607295;1
;100013615510;1
;100013616657;1
;100013622079;1
;100013636099;1
;100013638801;1
;100013639062;1
;100013675827;1
;100013706012;1
;100013715578;1
;100013750484;1
;100013792255;1
;100013815167;1
;100013830384;1
;100013849560;1
;100013860925;1
;100013899046;1
;100013933284;1
;100013939817;1
;100013948823;1
;100013960554;1
;100013974592;1
;100013986058;1
;100013998893;1
;100014017953;1
;100014025159;1
;100014030748;1
;100014159572;1
;100014173550;1
;100014190461;1
;100014212305;1
;100014243148;1
;100014259836;1
;100014263131;1
;100014266713;1
;100014276517;1
;100014282434;1
;100014284280;1
;100014328619;1
;100014334992;1
;100014406294;1
;100014423776;1
;100014432956;1
;100014464019;1
;100014466828;1
;100014468114;1
;100014472681;1
;100014506791;1
;100014533492;1
;100014562960;1
;100014569633;1
;100014575522;1
;100014622193;1
;100014671720;1
;100014684769;1
;100014687300;1
;100014716999;1
;100014725818;1
;100014728024;1
;100014731534;1
;100014765514;1
;100014796517;1
;100014834133;1
;100014860930;1
;100014863697;1
;100014905450;1
;100014913619;1
;100014949588;1
;100014976014;1
;100014982232;1
;100015003856;1
;100015039363;1
;100015088250;1
;100015109440;1
;100015112365;1
;100015141516;1
;100015159339;1
;100015159360;1
;100015172969;1
;100015180482;1
;100015193451;1
;100015221177;1
;100015262837;1
;100015283896;1
;100015295946;1
;100015304663;1
;100015309105;1
;100015329249;1
;100015412728;1
;100015416410;1
;100015425633;1
;100015433374;1
;100015448549;1
;100015456367;1
;100015483111;1
;100015551686;1
;100015561955;1
;100015592230;1
;100015628849;1
;100015671778;1
;100015676407;1
;100015709456;1
;100015762669;1
;100015781214;1
;100015781248;1
;100015782906;1
;100015829611;1
;100015875552;1
;100015878366;1
;100015891455;1
;100015900228;1
;100015906411;1
;100015913201;1
;100015915808;1
;100015932333;1
;100015932379;1
;100015974094;1
;100016003648;1
;100016040928;1
;100016056729;1
;100016086579;1
;100016093682;1
;100016106786;1
;100016123902;1
;100016154609;1
;100016165980;1
;100016172507;1
;100016180398;1
;100016185703;1
;100016234661;1
;100016237510;1
;100016261977;1
;100016291365;1
;100016335956;1
;100016356270;1
;100016383167;1
;100016419509;1
;100016420778;1
;100016436704;1
;100016442907;1
;100016471226;1
;100016489990;1
;100016506279;1
;100016538955;1
;100016541404;1
;100016559422;1
;100016581860;1
;100016596130;1
;100016596754;1
;100016600993;1
;100016612909;1
;100016621401;1
;100016622994;1
;100016629374;1
;100016633715;1
;100016639478;1
;100016642863;1
;100016660044;1
;100016662902;1
;100016665218;1
;100016679111;1
;100016708995;1
;100016715699;1
;100016737043;1
;100016796486;1
;100016804450;1
;100016829796;1
;100016865107;1
;100016870241;1
;100016908650;1
;100016932339;1
;100016972790;1
;100016974428;1
;100016980022;1
;100017005664;1
;100017014569;1
;100017022339;1
;100017040094;1
;100017051035;1
;100017057077;1
;100017091800;1
;100017094576;1
;100017110666;1
;100017126064;1
;100017126223;1
;100017137276;1
;100017159257;1
;100017168574;1
;100017177755;1
;100017196984;1
;100017199619;1
;100017223617;1
;100017276230;1
;100017290600;1
;100017326028;1
;100017327143;1
;100017340946;1
;100017351140;1
;100017355041;1
;100017355342;1
;100017359644;1
;100017369212;1
;100017393042;1
;100017409009;1
;100017413452;1
;100017426652;1
;100017453319;1
;100017463347;1
;100017494326;1
;100017498401;1
;100017522161;1
;100017553039;1
;100017609012;1
;100017626387;1
;100017669935;1
;100017677901;1
;100017724018;1
;100017726695;1
;100017726721;1
;100017753613;1
;100017757091;1
;100017772822;1
;100017815512;1
;100017820905;1
;100017823181;1
;100017837900;1
;100017855419;1
;100017861757;1
;100017876763;1
;100017879028;1
;100017915772;1
;100017923072;1
;100017932759;1
;100017935136;1
;100017965023;1
;100017988090;1
;100017991981;1
;100017996876;1
;100017999681;1
;100018016389;1
;100018017377;1
;100018032894;1
;100018040174;1
;100018041604;1
;100018061081;1
;100018106915;1
;100018120073;1
;100018128638;1
;100018154658;1
;100018168211;1
;100018179169;1
;100018225525;1
;100018227394;1
;100018239103;1
;100018240747;1
;100018244455;1
;100018248111;1
;100018266145;1
;100018303173;1
;100018309198;1
;100018368392;1
;100018391319;1
;100018404749;1
;100018410049;1
;100018423369;1
;100018508520;1
;100018522625;1
;100018527616;1
;100018545928;1
;100018546227;1
;100018563968;1
;100018568949;1
;100018596378;1
;100018641067;1
;100018645940;1
;100018648578;1
;100018698300;1
;100018781208;1
;100018811253;1
;100018818767;1
;100018820122;1
;100018820616;1
;100018826680;1
;100018834386;1
;100018885156;1
;100018907392;1
;100018926532;1
;100018926907;1
;100018934521;1
;100018938573;1
;100018952814;1
;100018974179;1
;100018993385;1
;100019045566;1
;100019048243;1
;100019057605;1
;100019070289;1
;100019079992;1
;100019084291;1
;100019100339;1
;100019108219;1
;100019131312;1
;100019147900;1
;100019187570;1
;100019202008;1
;100019254680;1
;100019265046;1
;100019303416;1
;100019307541;1
;100019308271;1
;100019312432;1
;100019313403;1
;100019323262;1
;100019341087;1
;100019355946;1
;100019368859;1
;100019369659;1
;100019387472;1
;100019402110;1
;100019406950;1
;100019427855;1
;100019461954;1
;100019559899;1
;100019565496;1
;100019583591;1
;100019598197;1
;100019613138;1
;100019618633;1
;100019623142;1
;100019623819;1
;100019628997;1
;100019633872;1
;100019657359;1
;100019657767;1
;100019662066;1
;100019669483;1
;100019680458;1
;100019740911;1
;100019808888;1
;100019818284;1
;100019820378;1
;100019878001;1
;100019887051;1
;100019906000;1
;100019909784;1
;100019910839;1
;100019911543;1
;100019917645;1
;100019968530;1
;100019969751;1
;100019994445;1
;101117751159;1
;101117787135;1
;101125335854;1
;101142558986;1
;101143494319;1
;101152199881;1
;101156411226;1
;101157656845;1
;101159296742;1
;101169241628;1
;101179121673;1
;101186764591;1
;101192146743;1
;101193184972;1
;101219496736;1
;101229217914;1
;101229748446;1
;101234226397;1
;101235948165;1
;101239741652;1
;101253284645;1
;101259478727;1
;101259489964;1
;101265266173;1
;101278369341;1
;101281145498;1
;101282168198;1
;101311141227;1
;101311726811;1
;101322282755;1
;101334948655;1
;101342833822;1
;101366737833;1
;101368288267;1
;101373183853;1
;101387842274;1
;101389911657;1
;101392236373;1
;101395673713;1
;101397719772;1
;101419995132;1
;101426757527;1
;101438523299;1
;101441349396;1
;101441864674;1
;101445182762;1
;101452484568;1
;101453125789;1
;101458261529;1
;101458645884;1
;101467958955;1
;101471424878;1
;101473232385;1
;101474731437;1
;101479181891;1
;101484522633;1
;101485335718;1
;101492838199;1
;101495787623;1
;101497231988;1
;101512768269;1
;101527347215;1
;101528391228;1
;101529188567;1
;101531699665;1
;101538112155;1
;101549615891;1
;101551551848;1
;101555216788;1
;101585139968;1
;101589244587;1
;101597732949;1
;101616524176;1
;101618577941;1
;101621482145;1
;101621927995;1
;101631465391;1
;101631466759;1
;101645988629;1
;101647481334;1
;101649916677;1
;101663718241;1
;101664225716;1
;101665132428;1
;101667316437;1
;101718258112;1
;101721495981;1
;101722145184;1
;101726654919;1
;101727858489;1
;101741128425;1
;101745156253;1
;101747399214;1
;101748354878;1
;101756511825;1
;101756573217;1
;101757194663;1
;101784245944;1
;101795446688;1
;101796152134;1
;101821174998;1
;101821494298;1
;101821919134;1
;101835486411;1
;101839729683;1
;101847652373;1
;101849276735;1
;101852297176;1
;101852398942;1
;101852837426;1
;101861331413;1
;101861376232;1
;101865357867;1
;101877963214;1
;101894179635;1
;101895723227;1
;101895954356;1
;101913244833;1
;101914638566;1
;101921152323;1
;101933469758;1
;101951138349;1
;101951412353;1
;101958717585;1
;101964243423;1
;101968694631;1
;101969658264;1
;101973622415;1
;101976396825;1
;101977546648;1
;101987327871;1
;101999657477;1
;101999773492;1
;102058025119;1
;102084889783;1
;102110968204;1
;102128421042;1
;102236288145;1
;102320387113;1
;102325109214;1
;102389712018;1
;102397044981;1
;102397555884;1
;102506129184;1
;102507514628;1
;102509356963;1
;102529496508;1
;102554093495;1
;102629701980;1
;102648579742;1
;102650132195;1
;102687076562;1
;102728810532;1
;102749035424;1
;102763682264;1
;102775584843;1
;102795027504;1
;102811799467;1
;102847842281;1
;102863986919;1
;102905570831;1